序号,导演姓名,性别,活跃地区,代表作品,上映年份,作品类型,故事发生时代,故事发生地区,第一主演性别,番位分类,番位判定依据,资料来源/判断依据,来源链接,选择理由
154,刘伟强,男,香港/大陆,中国医生,2021,剧情/灾难,2020年新冠疫情初期,湖北武汉,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%B8%AD%E5%9B%BD%E5%8C%BB%E7%94%9F%20%E5%88%98%E4%BC%9F%E5%BC%BA,https://movie.douban.com/subject_search?search_text=%E4%B8%AD%E5%9B%BD%E5%8C%BB%E7%94%9F%20%E5%88%98%E4%BC%9F%E5%BC%BA,抗疫题材代表
155,麦兆辉,男,香港,无间道,2002,剧情/犯罪/惊悚,当代,香港,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%97%A0%E9%97%B4%E9%81%93%20%E9%BA%A6%E5%85%86%E8%BE%89,https://movie.douban.com/subject_search?search_text=%E6%97%A0%E9%97%B4%E9%81%93%20%E9%BA%A6%E5%85%86%E8%BE%89,共同导演警匪片代表
156,麦兆辉,男,香港,伤城,2006,剧情/犯罪/惊悚,当代,香港,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%BC%A4%E5%9F%8E%20%E9%BA%A6%E5%85%86%E8%BE%89,https://movie.douban.com/subject_search?search_text=%E4%BC%A4%E5%9F%8E%20%E9%BA%A6%E5%85%86%E8%BE%89,警匪悬疑代表
157,麦兆辉,男,香港,窃听风云,2009,剧情/动作/惊悚,当代,香港,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%AA%83%E5%90%AC%E9%A3%8E%E4%BA%91%20%E9%BA%A6%E5%85%86%E8%BE%89,https://movie.douban.com/subject_search?search_text=%E7%AA%83%E5%90%AC%E9%A3%8E%E4%BA%91%20%E9%BA%A6%E5%85%86%E8%BE%89,金融犯罪警匪片代表
158,麦兆辉,男,香港,窃听风云2,2011,剧情/动作/悬疑,当代,香港,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%AA%83%E5%90%AC%E9%A3%8E%E4%BA%912%20%E9%BA%A6%E5%85%86%E8%BE%89,https://movie.douban.com/subject_search?search_text=%E7%AA%83%E5%90%AC%E9%A3%8E%E4%BA%912%20%E9%BA%A6%E5%85%86%E8%BE%89,系列警匪片代表
159,麦兆辉,男,香港,窃听风云3,2014,动作/悬疑/犯罪,当代,香港新界/土地与金融空间,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%AA%83%E5%90%AC%E9%A3%8E%E4%BA%913%20%E9%BA%A6%E5%85%86%E8%BE%89,https://movie.douban.com/subject_search?search_text=%E7%AA%83%E5%90%AC%E9%A3%8E%E4%BA%913%20%E9%BA%A6%E5%85%86%E8%BE%89,土地金融犯罪题材代表
160,麦兆辉,男,香港,廉政风云,2019,剧情/悬疑/犯罪,当代,香港、澳洲等,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%BB%89%E6%94%BF%E9%A3%8E%E4%BA%91%20%E9%BA%A6%E5%85%86%E8%BE%89,https://movie.douban.com/subject_search?search_text=%E5%BB%89%E6%94%BF%E9%A3%8E%E4%BA%91%20%E9%BA%A6%E5%85%86%E8%BE%89,廉政犯罪片代表
161,庄文强,男,香港,窃听风云,2009,剧情/动作/惊悚,当代,香港,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%AA%83%E5%90%AC%E9%A3%8E%E4%BA%91%20%E5%BA%84%E6%96%87%E5%BC%BA,https://movie.douban.com/subject_search?search_text=%E7%AA%83%E5%90%AC%E9%A3%8E%E4%BA%91%20%E5%BA%84%E6%96%87%E5%BC%BA,共同导演金融犯罪片代表
162,庄文强,男,香港,窃听风云2,2011,剧情/动作/悬疑,当代,香港,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%AA%83%E5%90%AC%E9%A3%8E%E4%BA%912%20%E5%BA%84%E6%96%87%E5%BC%BA,https://movie.douban.com/subject_search?search_text=%E7%AA%83%E5%90%AC%E9%A3%8E%E4%BA%912%20%E5%BA%84%E6%96%87%E5%BC%BA,共同导演系列代表
163,庄文强,男,香港,无双,2018,剧情/动作/犯罪,当代,香港、泰国、加拿大等,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%97%A0%E5%8F%8C%20%E5%BA%84%E6%96%87%E5%BC%BA,https://movie.douban.com/subject_search?search_text=%E6%97%A0%E5%8F%8C%20%E5%BA%84%E6%96%87%E5%BC%BA,伪钞犯罪类型片代表
164,郑保瑞,男,香港,狗咬狗,2006,动作/犯罪/惊悚,当代,香港、柬埔寨,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%8B%97%E5%92%AC%E7%8B%97%20%E9%83%91%E4%BF%9D%E7%91%9E,https://movie.douban.com/subject_search?search_text=%E7%8B%97%E5%92%AC%E7%8B%97%20%E9%83%91%E4%BF%9D%E7%91%9E,暗黑港式犯罪代表
165,郑保瑞,男,香港,意外,2009,悬疑/惊悚,当代,香港,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%84%8F%E5%A4%96%20%E9%83%91%E4%BF%9D%E7%91%9E,https://movie.douban.com/subject_search?search_text=%E6%84%8F%E5%A4%96%20%E9%83%91%E4%BF%9D%E7%91%9E,犯罪悬疑类型片代表
166,郑保瑞,男,香港,西游记之大闹天宫,2014,动作/奇幻,神话时代/西游世界,天庭、花果山、东海等,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%A5%BF%E6%B8%B8%E8%AE%B0%E4%B9%8B%E5%A4%A7%E9%97%B9%E5%A4%A9%E5%AE%AB%20%E9%83%91%E4%BF%9D%E7%91%9E,https://movie.douban.com/subject_search?search_text=%E8%A5%BF%E6%B8%B8%E8%AE%B0%E4%B9%8B%E5%A4%A7%E9%97%B9%E5%A4%A9%E5%AE%AB%20%E9%83%91%E4%BF%9D%E7%91%9E,神话商业大片代表
167,郑保瑞,男,香港,杀破狼2,2015,动作/犯罪,当代,香港、泰国监狱,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%9D%80%E7%A0%B4%E7%8B%BC2%20%E9%83%91%E4%BF%9D%E7%91%9E,https://movie.douban.com/subject_search?search_text=%E6%9D%80%E7%A0%B4%E7%8B%BC2%20%E9%83%91%E4%BF%9D%E7%91%9E,港式动作系列代表
168,郑保瑞,男,香港,智齿,2021,犯罪/悬疑,当代,香港旧区/雨夜犯罪空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%99%BA%E9%BD%BF%20%E9%83%91%E4%BF%9D%E7%91%9E,https://movie.douban.com/subject_search?search_text=%E6%99%BA%E9%BD%BF%20%E9%83%91%E4%BF%9D%E7%91%9E,黑白犯罪作者片代表
169,郑保瑞,男,香港,命案,2023,剧情/犯罪/悬疑,当代,香港,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：http://www.wikidata.org/entity/Q117663512,http://www.wikidata.org/entity/Q117663512,宿命犯罪片代表
170,郑保瑞,男,香港,九龙城寨之围城,2024,动作/犯罪,20世纪80年代,香港九龙城寨,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%B9%9D%E9%BE%99%E5%9F%8E%E5%AF%A8%E4%B9%8B%E5%9B%B4%E5%9F%8E%20%E9%83%91%E4%BF%9D%E7%91%9E,https://movie.douban.com/subject_search?search_text=%E4%B9%9D%E9%BE%99%E5%9F%8E%E5%AF%A8%E4%B9%8B%E5%9B%B4%E5%9F%8E%20%E9%83%91%E4%BF%9D%E7%91%9E,香港动作片复兴代表
171,陈国富,男,台湾/大陆,双瞳,2002,悬疑/惊悚/犯罪,当代,台北,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8F%8C%E7%9E%B3%20%E9%99%88%E5%9B%BD%E5%AF%8C,https://movie.douban.com/subject_search?search_text=%E5%8F%8C%E7%9E%B3%20%E9%99%88%E5%9B%BD%E5%AF%8C,华语惊悚合拍片代表
172,陈国富,男,台湾/大陆,风声,2009,谍战/剧情/惊悚,抗战时期/汪伪政权背景,浙江裘庄/华东敌占区,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%A3%8E%E5%A3%B0%20%E9%99%88%E5%9B%BD%E5%AF%8C,https://movie.douban.com/subject_search?search_text=%E9%A3%8E%E5%A3%B0%20%E9%99%88%E5%9B%BD%E5%AF%8C,谍战类型片代表
173,陈正道,男,台湾/大陆,盛夏光年,2006,剧情/爱情/青春,当代/青春回忆,台湾台北、宜兰等,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%9B%9B%E5%A4%8F%E5%85%89%E5%B9%B4%20%E9%99%88%E6%AD%A3%E9%81%93,https://movie.douban.com/subject_search?search_text=%E7%9B%9B%E5%A4%8F%E5%85%89%E5%B9%B4%20%E9%99%88%E6%AD%A3%E9%81%93,台湾青春片代表
174,陈正道,男,台湾/大陆,催眠大师,2014,悬疑/惊悚,当代,中国城市/心理咨询空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%82%AC%E7%9C%A0%E5%A4%A7%E5%B8%88%20%E9%99%88%E6%AD%A3%E9%81%93,https://movie.douban.com/subject_search?search_text=%E5%82%AC%E7%9C%A0%E5%A4%A7%E5%B8%88%20%E9%99%88%E6%AD%A3%E9%81%93,心理悬疑商业片代表
175,陈正道,男,台湾/大陆,重返20岁,2015,喜剧/爱情/奇幻,当代/奇幻返老,中国城市,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%87%8D%E8%BF%9420%E5%B2%81%20%E9%99%88%E6%AD%A3%E9%81%93,https://movie.douban.com/subject_search?search_text=%E9%87%8D%E8%BF%9420%E5%B2%81%20%E9%99%88%E6%AD%A3%E9%81%93,翻拍喜剧代表
176,侯孝贤,男,台湾,千禧曼波,2001,剧情/爱情,2001年前后,台北,女性,第一番位为女性,公开主演表/剧情简介补判为女性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8D%83%E7%A6%A7%E6%9B%BC%E6%B3%A2%20%E4%BE%AF%E5%AD%9D%E8%B4%A4,https://movie.douban.com/subject_search?search_text=%E5%8D%83%E7%A6%A7%E6%9B%BC%E6%B3%A2%20%E4%BE%AF%E5%AD%9D%E8%B4%A4,台湾作者电影代表
177,侯孝贤,男,台湾,咖啡时光,2003,剧情,当代,日本东京,女性,第一番位为女性,公开主演表/剧情简介补判为女性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%92%96%E5%95%A1%E6%97%B6%E5%85%89%20%E4%BE%AF%E5%AD%9D%E8%B4%A4,https://movie.douban.com/subject_search?search_text=%E5%92%96%E5%95%A1%E6%97%B6%E5%85%89%20%E4%BE%AF%E5%AD%9D%E8%B4%A4,跨国作者电影代表
178,侯孝贤,男,台湾,最好的时光,2005,剧情/爱情,1911、1966、2005三个时段,台湾大稻埕、高雄、台北等,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%9C%80%E5%A5%BD%E7%9A%84%E6%97%B6%E5%85%89%20%E4%BE%AF%E5%AD%9D%E8%B4%A4,https://movie.douban.com/subject_search?search_text=%E6%9C%80%E5%A5%BD%E7%9A%84%E6%97%B6%E5%85%89%20%E4%BE%AF%E5%AD%9D%E8%B4%A4,三段式年代爱情代表
179,侯孝贤,男,台湾,红气球之旅,2007,剧情,当代,法国巴黎,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%BA%A2%E6%B0%94%E7%90%83%E4%B9%8B%E6%97%85%20%E4%BE%AF%E5%AD%9D%E8%B4%A4,https://movie.douban.com/subject_search?search_text=%E7%BA%A2%E6%B0%94%E7%90%83%E4%B9%8B%E6%97%85%20%E4%BE%AF%E5%AD%9D%E8%B4%A4,法语作者电影代表
180,侯孝贤,男,台湾,刺客聂隐娘,2015,剧情/武侠/古装,唐代/古代武侠世界,中国山林与边地,女性,第一番位为女性,公开主演表/剧情简介补判为女性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%88%BA%E5%AE%A2%E8%81%82%E9%9A%90%E5%A8%98%20%E4%BE%AF%E5%AD%9D%E8%B4%A4,https://movie.douban.com/subject_search?search_text=%E5%88%BA%E5%AE%A2%E8%81%82%E9%9A%90%E5%A8%98%20%E4%BE%AF%E5%AD%9D%E8%B4%A4,台湾作者武侠代表
181,杨德昌,男,台湾,一一,2000,剧情/家庭,当代,台北,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%B8%80%E4%B8%80%20%E6%9D%A8%E5%BE%B7%E6%98%8C,https://movie.douban.com/subject_search?search_text=%E4%B8%80%E4%B8%80%20%E6%9D%A8%E5%BE%B7%E6%98%8C,台湾新电影经典代表
182,蔡明亮,男,台湾/马来西亚,你那边几点,2001,剧情/爱情,当代,台北、巴黎时差意象,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%BD%A0%E9%82%A3%E8%BE%B9%E5%87%A0%E7%82%B9%20%E8%94%A1%E6%98%8E%E4%BA%AE,https://movie.douban.com/subject_search?search_text=%E4%BD%A0%E9%82%A3%E8%BE%B9%E5%87%A0%E7%82%B9%20%E8%94%A1%E6%98%8E%E4%BA%AE,台湾作者电影代表
183,蔡明亮,男,台湾/马来西亚,不散,2003,剧情,当代,台北福和大戏院,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%B8%8D%E6%95%A3%20%E8%94%A1%E6%98%8E%E4%BA%AE,https://movie.douban.com/subject_search?search_text=%E4%B8%8D%E6%95%A3%20%E8%94%A1%E6%98%8E%E4%BA%AE,影院空间与作者电影代表
184,蔡明亮,男,台湾/马来西亚,天边一朵云,2005,剧情/喜剧/歌舞,当代,台北,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%A4%A9%E8%BE%B9%E4%B8%80%E6%9C%B5%E4%BA%91%20%E8%94%A1%E6%98%8E%E4%BA%AE,https://movie.douban.com/subject_search?search_text=%E5%A4%A9%E8%BE%B9%E4%B8%80%E6%9C%B5%E4%BA%91%20%E8%94%A1%E6%98%8E%E4%BA%AE,荒诞都市作者片代表
185,蔡明亮,男,台湾/马来西亚,黑眼圈,2006,剧情,当代,马来西亚吉隆坡/移民居住空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%BB%91%E7%9C%BC%E5%9C%88%20%E8%94%A1%E6%98%8E%E4%BA%AE,https://movie.douban.com/subject_search?search_text=%E9%BB%91%E7%9C%BC%E5%9C%88%20%E8%94%A1%E6%98%8E%E4%BA%AE,跨国华语作者电影代表
186,蔡明亮,男,台湾/马来西亚,脸,2009,剧情,当代,法国巴黎/卢浮宫,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%84%B8%20%E8%94%A1%E6%98%8E%E4%BA%AE,https://movie.douban.com/subject_search?search_text=%E8%84%B8%20%E8%94%A1%E6%98%8E%E4%BA%AE,跨语际美术馆电影代表
187,蔡明亮,男,台湾/马来西亚,郊游,2013,剧情,当代,台北郊区/城市边缘,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%83%8A%E6%B8%B8%20%E8%94%A1%E6%98%8E%E4%BA%AE,https://movie.douban.com/subject_search?search_text=%E9%83%8A%E6%B8%B8%20%E8%94%A1%E6%98%8E%E4%BA%AE,极简作者电影代表
188,蔡明亮,男,台湾/马来西亚,日子,2020,剧情,当代,台湾、香港、泰国等极简生活空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%97%A5%E5%AD%90%20%E8%94%A1%E6%98%8E%E4%BA%AE,https://movie.douban.com/subject_search?search_text=%E6%97%A5%E5%AD%90%20%E8%94%A1%E6%98%8E%E4%BA%AE,晚期作者电影代表
189,李安,男,台湾/美国,卧虎藏龙,2000,武侠/动作/爱情,清代/古代江湖,中国江南、京城与西部边地,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8D%A7%E8%99%8E%E8%97%8F%E9%BE%99%20%E6%9D%8E%E5%AE%89,https://movie.douban.com/subject_search?search_text=%E5%8D%A7%E8%99%8E%E8%97%8F%E9%BE%99%20%E6%9D%8E%E5%AE%89,国际华语武侠代表
190,李安,男,台湾/美国,绿巨人浩克,2003,科幻/动作,当代,美国旧金山/伯克利,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%BB%BF%E5%B7%A8%E4%BA%BA%E6%B5%A9%E5%85%8B%20%E6%9D%8E%E5%AE%89,https://movie.douban.com/subject_search?search_text=%E7%BB%BF%E5%B7%A8%E4%BA%BA%E6%B5%A9%E5%85%8B%20%E6%9D%8E%E5%AE%89,华裔导演好莱坞类型片代表
191,李安,男,台湾/美国,断背山,2005,剧情/爱情/同性,1963-1983年前后,美国怀俄明、德克萨斯等,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%96%AD%E8%83%8C%E5%B1%B1%20%E6%9D%8E%E5%AE%89,https://movie.douban.com/subject_search?search_text=%E6%96%AD%E8%83%8C%E5%B1%B1%20%E6%9D%8E%E5%AE%89,国际获奖作者商业片代表
192,李安,男,台湾/美国,色，戒,2007,剧情/爱情/历史,1938-1942年,日占上海、香港,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%89%B2%EF%BC%8C%E6%88%92%20%E6%9D%8E%E5%AE%89,https://movie.douban.com/subject_search?search_text=%E8%89%B2%EF%BC%8C%E6%88%92%20%E6%9D%8E%E5%AE%89,华语历史爱情片代表
193,李安,男,台湾/美国,少年派的奇幻漂流,2012,剧情/冒险/奇幻,当代/少年漂流寓言,印度、太平洋、墨西哥/加拿大叙述框架,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%B0%91%E5%B9%B4%E6%B4%BE%E7%9A%84%E5%A5%87%E5%B9%BB%E6%BC%82%E6%B5%81%20%E6%9D%8E%E5%AE%89,https://movie.douban.com/subject_search?search_text=%E5%B0%91%E5%B9%B4%E6%B4%BE%E7%9A%84%E5%A5%87%E5%B9%BB%E6%BC%82%E6%B5%81%20%E6%9D%8E%E5%AE%89,国际视效与文学改编代表
194,李安,男,台湾/美国,比利·林恩的中场战事,2016,剧情/战争,2004年伊拉克战争后与美国赛事日,美国、伊拉克战场记忆,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%AF%94%E5%88%A9%C2%B7%E6%9E%97%E6%81%A9%E7%9A%84%E4%B8%AD%E5%9C%BA%E6%88%98%E4%BA%8B%20%E6%9D%8E%E5%AE%89,https://movie.douban.com/subject_search?search_text=%E6%AF%94%E5%88%A9%C2%B7%E6%9E%97%E6%81%A9%E7%9A%84%E4%B8%AD%E5%9C%BA%E6%88%98%E4%BA%8B%20%E6%9D%8E%E5%AE%89,高帧率技术实验代表
195,李安,男,台湾/美国,双子杀手,2019,动作/科幻,近未来,美国、欧洲与跨国行动空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8F%8C%E5%AD%90%E6%9D%80%E6%89%8B%20%E6%9D%8E%E5%AE%89,https://movie.douban.com/subject_search?search_text=%E5%8F%8C%E5%AD%90%E6%9D%80%E6%89%8B%20%E6%9D%8E%E5%AE%89,高帧率动作技术实验代表
196,魏德圣,男,台湾,海角七号,2008,剧情/喜剧/爱情,当代,台湾恒春,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%B5%B7%E8%A7%92%E4%B8%83%E5%8F%B7%20%E9%AD%8F%E5%BE%B7%E5%9C%A3,https://movie.douban.com/subject_search?search_text=%E6%B5%B7%E8%A7%92%E4%B8%83%E5%8F%B7%20%E9%AD%8F%E5%BE%B7%E5%9C%A3,台湾本土商业片复兴代表
197,魏德圣,男,台湾,赛德克·巴莱,2011,历史/战争/剧情,1930年雾社事件时期,台湾南投雾社,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、历史事件资料、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%B5%9B%E5%BE%B7%E5%85%8B%C2%B7%E5%B7%B4%E8%8E%B1%20%E9%AD%8F%E5%BE%B7%E5%9C%A3,https://movie.douban.com/subject_search?search_text=%E8%B5%9B%E5%BE%B7%E5%85%8B%C2%B7%E5%B7%B4%E8%8E%B1%20%E9%AD%8F%E5%BE%B7%E5%9C%A3,台湾史诗历史片代表
198,魏德圣,男,台湾,52赫兹，我爱你,2017,爱情/歌舞,当代,台北,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=52%E8%B5%AB%E5%85%B9%EF%BC%8C%E6%88%91%E7%88%B1%E4%BD%A0%20%E9%AD%8F%E5%BE%B7%E5%9C%A3,https://movie.douban.com/subject_search?search_text=52%E8%B5%AB%E5%85%B9%EF%BC%8C%E6%88%91%E7%88%B1%E4%BD%A0%20%E9%AD%8F%E5%BE%B7%E5%9C%A3,台湾歌舞爱情片代表
199,钮承泽,男,台湾,情非得已之生存之道,2007,喜剧/剧情,当代,台北,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%83%85%E9%9D%9E%E5%BE%97%E5%B7%B2%E4%B9%8B%E7%94%9F%E5%AD%98%E4%B9%8B%E9%81%93%20%E9%92%AE%E6%89%BF%E6%B3%BD,https://movie.douban.com/subject_search?search_text=%E6%83%85%E9%9D%9E%E5%BE%97%E5%B7%B2%E4%B9%8B%E7%94%9F%E5%AD%98%E4%B9%8B%E9%81%93%20%E9%92%AE%E6%89%BF%E6%B3%BD,台湾伪纪录/自反叙事代表
200,钮承泽,男,台湾,艋舺,2010,剧情/动作/犯罪,20世纪80年代,台北艋舺,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%89%8B%E8%88%BA%20%E9%92%AE%E6%89%BF%E6%B3%BD,https://movie.douban.com/subject_search?search_text=%E8%89%8B%E8%88%BA%20%E9%92%AE%E6%89%BF%E6%B3%BD,台湾青春黑帮片代表
201,钮承泽,男,台湾,爱,2012,剧情/爱情,当代,台北、北京等两岸都市,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%88%B1%20%E9%92%AE%E6%89%BF%E6%B3%BD,https://movie.douban.com/subject_search?search_text=%E7%88%B1%20%E9%92%AE%E6%89%BF%E6%B3%BD,两岸都市爱情片代表
202,钮承泽,男,台湾,军中乐园,2014,剧情/历史,1969-1970年前后,台湾金门,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%86%9B%E4%B8%AD%E4%B9%90%E5%9B%AD%20%E9%92%AE%E6%89%BF%E6%B3%BD,https://movie.douban.com/subject_search?search_text=%E5%86%9B%E4%B8%AD%E4%B9%90%E5%9B%AD%20%E9%92%AE%E6%89%BF%E6%B3%BD,金门军中特约茶室题材代表
203,九把刀,男,台湾,那些年，我们一起追的女孩,2011,剧情/喜剧/爱情,20世纪90年代,台湾校园/彰化一带,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%82%A3%E4%BA%9B%E5%B9%B4%EF%BC%8C%E6%88%91%E4%BB%AC%E4%B8%80%E8%B5%B7%E8%BF%BD%E7%9A%84%E5%A5%B3%E5%AD%A9%20%E4%B9%9D%E6%8A%8A%E5%88%80,https://movie.douban.com/subject_search?search_text=%E9%82%A3%E4%BA%9B%E5%B9%B4%EF%BC%8C%E6%88%91%E4%BB%AC%E4%B8%80%E8%B5%B7%E8%BF%BD%E7%9A%84%E5%A5%B3%E5%AD%A9%20%E4%B9%9D%E6%8A%8A%E5%88%80,台湾青春爱情片代表
